date,time,open,high,low,close,Volume
08-06-2021,14:40:00,15741.95,15744.3,15739.8,15743.9,0
08-06-2021,14:45:00,15744.75,15750.45,15739.65,15746.55,0
08-06-2021,14:50:00,15746.5,15758.35,15746.5,15750.35,0
08-06-2021,14:55:00,15750.25,15753.05,15745.15,15747.75,0
08-06-2021,15:00:00,15747.4,15753.65,15739.5,15750.3,0
08-06-2021,15:05:00,15750.95,15751.95,15735.3,15741.3,0
08-06-2021,15:10:00,15740.8,15742.25,15733.65,15737.55,0
08-06-2021,15:15:00,15738.5,15740.25,15733.6,15734.1,0
08-06-2021,15:20:00,15734,15747,15734,15741.7,0
08-06-2021,15:25:00,15741.4,15745.8,15738.85,15741.85,0
09-06-2021,09:15:00,15769.95,15768.35,15742.35,15754.2,0
09-06-2021,09:20:00,15753.85,15753.85,15723.85,15732.2,0
09-06-2021,09:25:00,15731.3,15759,15730.55,15756.5,0
09-06-2021,09:30:00,15756.55,15773.95,15755.8,15773.2,0
09-06-2021,09:35:00,15772.8,15778.2,15768.2,15771.3,0
09-06-2021,09:40:00,15772.35,15777.3,15761.3,15770.45,0
09-06-2021,09:45:00,15770.4,15777.15,15768.05,15772.85,0
09-06-2021,09:50:00,15772.75,15788.8,15771.1,15787.55,0
09-06-2021,09:55:00,15786.4,15788.65,15782.55,15786.1,0
09-06-2021,10:00:00,15786.5,15792.45,15784.7,15788.4,0
09-06-2021,10:05:00,15788.1,15789.9,15784.95,15785.2,0
09-06-2021,10:10:00,15785.6,15787.05,15776.65,15783.75,0
09-06-2021,10:15:00,15783.75,15786.1,15774.9,15778.25,0
09-06-2021,10:20:00,15777.8,15784.75,15777.55,15780.75,0
09-06-2021,10:25:00,15780.9,15781.65,15775.9,15775.9,0
09-06-2021,10:30:00,15776.3,15780.1,15774.4,15778.7,0
09-06-2021,10:35:00,15778.6,15778.85,15769.25,15775.35,0
09-06-2021,10:40:00,15775.25,15782.7,15775.25,15778.65,0
09-06-2021,10:45:00,15778.1,15779.95,15775.35,15776.45,0
09-06-2021,10:50:00,15776.25,15782.5,15774.65,15781.9,0
09-06-2021,10:55:00,15781.65,15781.85,15773.9,15773.9,0
09-06-2021,11:00:00,15774.5,15782.65,15772.75,15781.45,0
09-06-2021,11:05:00,15781.6,15785.6,15779.5,15781.8,0
09-06-2021,11:10:00,15782.35,15785.2,15781.1,15782.85,0
09-06-2021,11:15:00,15782.75,15782.75,15774.55,15775.8,0
09-06-2021,11:20:00,15775.8,15781.65,15775.05,15780.6,0
09-06-2021,11:25:00,15780.95,15787.7,15780.2,15784.55,0
09-06-2021,11:30:00,15784.95,15788.4,15783.35,15783.35,0
